gurmukhi,english
bWDv,baandhav
bwDv,baadhav
bWDvh,baandhvaha
bwDvw,baadhvaa
Bwdvy,bhaadvay
bwDw,baadhaa
bWDw,baandhaa
bwDwqw,baadhaataa
bwDy,baadhay
bwDY,baadhai
bWDy,baandhay
bWDY,baandhai
BwE,bhaao
BweI,bhaaee
BWeI,bhaanee
bweI,baaee
BweIAVy,bhaaeeArray
BweIAw,bhaaeeaa
BweIAW,bhaaeeaan
BweIAY,bhaaeeai
BweIho,bhaaeeho
bweIs,baaees
Bwey,bhaaay
BWf,bhaandd
bwFI,baaddhee
bWFlw,baanddhlaa
BWfswl,bhaanddsaal
BWfw,bhaanddaa
Bwfw,bhaaddaa
bwfw,baaddaa
BWfy,bhaandday
BWfY,bhaanddai
BwfY,bhaaddai
Bwfy,bhaadday
bWFy,baanddhay
Bwg,bhaag
bwg,baag
bWg,baang
BWg,bhaang
Bwgau,bhaagou
Bwgauqu,bhaagoutu
Bwgey,bhaagay
BwghIn,bhaagaheen
BwghIx,bhaagaheenn
BwgI,bhaagee
BwgIAY,bhaageeai
bwgIcy,baageechay
Bwgih,bhaagahe
BwgIriQ,bhaageerathe
BwgiT,bhaagatthe
BwgITw,bhaageetthaa
Bwgix,bhaaganne
Bwgn,bhaagan
Bwgnw,bhaagnaa
Bwgo,bhaago
bwgrw,baagraa
BwgT,bhaagatth
BwgTu,bhaagatthu
BwgTVy,bhaagatthrray
Bwgu,bhaagu
bwgu,baagu
bwGu,baaghu
BwgvMqu,bhaagvantu
Bwgvqu,bhaagvatu
Bwgw,bhaagaa
bwgw,baagaa
bWgw,baangaa
BwgW,bhaagaan
bWgW,baangaan
bwgwiq,baagaate
BwgY,bhaagai
bwgy,baagay
Bwgy,bhaagay
bwh,baah
bWh,baanh
bwhau,baahou
bwhI,baahee
BwhI,bhaahee
bwhir,baahare
bwhj,baahaj
bwhk,baahak
bwhn,baahan
bwhr,baahar
bwhrhu,baaharahu
bwhrI,baahree
bwhru,baaharu
bwhrw,baahraa
bwhry,baahray
bwhuir,baahure
bwhuiV,baahurre
bwhuiVE,baahurreo
bwhuVY,baahurrai
bwhVI,baahrree
BwhVI,bhaahrree
bwhVIAW,baahrreeaan
bwhVIAwhw,baahrreeaahaa
bwhw,baahaa
bwhy,baahay
bWicAw,baancheaa
bwid,baade
bWiD,baandhe
bwiD,baadhe
bWiDAw,baandheaa
bwiDAw,baadheaa
bwiDE,baadheo
bWiDE,baandheo
bwiDlw,baadhelaa
bwidswh,baadesaah
bwidswhIAw,baadesaaheeaa
bwidswhu,baadesaahu
bwidswhw,baadesaahaa
Bwie,bhaae
bwie,baae
BWie,bhaane
BwieAw,bhaaeaa
bwieAw,baaeaa
Bwiedw,bhaaedaa
BwieE,bhaaeo
Bwier,bhaaer
Bwierhu,bhaaerahu
Bwierw,bhaaeraa
bwies,baaes
bwiF,baaddhe
Bwig,bhaage
BwigAw,bhaageaa
BwigE,bhaageo
Bwih,bhaahe
bwihAw,baaheaa
Bwij,bhaaje
bwijAw,baajeaa
bwijE,baajeo
bwijMqR,baajentra
bwijqRw,baajetraa
BwiK,bhaakhe
BwiKAw,bhaakheaa
BwiKE,bhaakheo
BwiKly,bhaakhelay
BwiKq,bhaakhet
Bwil,bhaale
bwil,baale
BwilAw,bhaaleaa
bwilAw,baaleaa
bwilk,baalek
bwilku,baaleku
bwin,baane
Bwin,bhaane
bwip,baape
Bwiq,bhaate
BWiq,bhaante
bwir,baare
Bwir,bhaare
BwirAw,bhaareaa
bwirju,baareju
bwirk,baarek
bwirku,baareku
bwis,baase
bwisbo,baasebo
bwit,baatte
BwiV,bhaarre
bwix,baanne
Bwix,bhaanne
BwixAw,bhaanneaa
bwj,baaj
Bwj,bhaaj
bwJhu,baajhahu
Bwjhu,bhaajahu
bwjI,baajee
bwjIAly,baajeeAlay
BwjIAY,bhaajeeai
bwjIgir,baajeegare
bwjIgr,baajeegar
bwjIgrI,baajeegaree
bwjIgru,baajeegaru
bwjih,baajahe
bwJiVAhu,baajharreAhu
bwjMq,baajant
Bwjn,bhaajan
bwJu,baajhu
Bwju,bhaaju
bwju,baaju
bwjw,baajaa
bWJw,baanjhaa
bwjW,baajaan
bwjwr,baajaar
bwjwrI,baajaaree
bwjwrIAw,baajaareeaa
bwjwru,baajaaru
bwjwrw,baajaaraa
bwjxo,baajnno
bwjY,baajai
bwjy,baajay
BwjY,bhaajai
BwKau,bhaakhou
BwKeI,bhaakhaee
BwKh,bhaakhaha
bwkI,baakee
BwKI,bhaakhee
bWkI,baankee
BwKih,bhaakhahe
BwKIly,bhaakheelay
BwKMqu,bhaakhantu
BwKq,bhaakhat
BwKu,bhaakhu
BwKY,bhaakhai
BwKy,bhaakhay
bwl,baal
Bwl,bhaal
Bwldw,bhaaldaa
bwlhw,baalhaa
bwlI,baalee
BwlI,bhaalee
BwlIAih,bhaaleeAhe
BwlIAw,bhaaleeaa
BwlIAY,bhaaleeai
bwlIAY,baaleeai
Bwlih,bhaalahe
Bwlix,bhaalanne
bwlk,baalak
bwlku,baalaku
Bwlkw,bhaalkaa
bwlmIkih,baalmeekahe
bwlmIku,baalmeeku
bwlmIkY,baalmeekai
BwlnI,bhaalnee
bwlpn,baalpan
bwlpnu,baalpanu
bwlqix,baaltanne
bwlU,baaloo
bwlu,baalu
bwlVIey,baalrreeay
bwlw,baalaa
Bwlw,bhaalaa
BwlweI,bhaalaaee
Bwlwie,bhaalaae
Bwlx,bhaalann
bwlx,baalann
Bwlxo,bhaalnno
bwlxu,baalannu
Bwlxw,bhaalnnaa
Bwly,bhaalay
bwly,baalay
bwlY,baalai
BwlY,bhaalai
bwm@n,baaman
bwm@nu,baamanu
bwm@xu,baamannu
bwmn,baaman
bwmnu,baamanu
bwmx,baamann
bwmxu,baamannu
bwmxw,baamnnaa
bwn,baan
Bwn,bhaan
bwnI,baanee
BwnI,bhaanee
BwnjI,bhaanjee
Bwnu,bhaanu
bwnu,baanu
bwnvY,baanvai
Bwnw,bhaanaa
bwnw,baanaa
bwnW,baanaan
bwnwris,baanaarase
bwnwrsI,baanaarsee
Bwny,bhaanay
BwnY,bhaanai
bwnY,baanai
bwny,baanay
bwp,baap
bwpo,baapo
bwpu,baapu
bwpurI,baapuree
bwpuro,baapuro
bwpurw,baapuraa
bwpury,baapuray
bwpw,baapaa
bwpwir,baapaare
bwpwr,baapaar
bwpwrI,baapaaree
bwpY,baapai
bwq,baat
bwqau,baatou
Bwqau,bhaatou
BwqI,bhaatee
bwqI,baatee
BWqI,bhaantee
BwqIeI,bhaateeee
bwqih,baatahe
BwqIjy,bhaateejay
BWqIN,bhaanteen
bwqn,baatan
BWqn,bhaantan
Bwqu,bhaatu
bwqVIAwh,baatrreeaaha
bwqw,baataa
Bwqy,bhaatay
bwqY,baatai
BWqy,bhaantay
Bwr,bhaar
bwr,baar
bwrh,baaraha
bwrhw,baarhaa
bwrI,baaree
BwrI,bhaaree
Bwrih,bhaarahe
bwrih,baarahe
bwris,baarase
Bwrjw,bhaarjaa
bwrM,baaran
BwrM,bhaaran
bwrMqir,baarantare
bwrnY,baarnai
Bwro,bhaaro
bwro,baaro
Bwrosau,bhaarosou
Bwrosw,bhaarosaa
BwrosY,bhaarosai
bwrqw,baartaa
Bwru,bhaaru
bwru,baaru
bwrU,baaroo
bwrunI,baarunee
Bwrw,bhaaraa
bwrw,baaraa
Bwry,bhaaray
bwry,baaray
bwrY,baarai
BwrY,bhaarai
Bwryx,bhaaraynn
bws,baas
bwsau,baasou
bwsbY,baasbaai
bwsI,baasee
bwsÍdyvs´,baasuadayvasea
bwsk,baasak
Bwskr,bhaaskar
bwsku,baasaku
bwsM,baasan
bwsn,baasan
bwsnh,baasnaha
bwsnu,baasanu
bwsnw,baasnaa
bWso,baanso
bwsrI,baasree
bwsro,baasro
bwsu,baasu
bWsu,baansu
bwsudyau,baasudayou
bwsudyv,baasudayv
bwsudyvh,baasudayvaha
bwsudyvis´,baasudayvasea
bwsur,baasur
bwsurI,baasuree
bwsw,baasaa
bwswnI,baasaanee
bwsY,baasai
bwsy,baasay
bwt,baatt
Bwt,bhaatt
BwTI,bhaatthee
bwtI,baattee
bwtulI,baattulee
Bwv,bhaav
BwvˆØI,bhaaveen
Bwvau,bhaavou
BwvdI,bhaavdee
Bwvdw,bhaavdaa
Bwvdy,bhaavday
BwveI,bhaavaee
Bwvey,bhaavay
Bwvh,bhaavaha
BwvhI,bhaavhee
Bwvhu,bhaavahu
Bwvhy,bhaavhay
BwVI,bhaarree
BwvI,bhaavee
bwVI,baarree
BwvIAw,bhaaveeaa
Bwvih,bhaavahe
Bwvihgy,bhaavhegay
BwvIjw,bhaaveejaa
bwvil,baavale
Bwvin,bhaavane
Bwvin@,bhaavane
Bwvir,bhaavare
bwvirAw,baavreaa
BwvIs,bhaavees
BwvixAw,bhaavnneaa
bwvl,baaval
bwvlI,baavlee
bwvlw,baavlaa
bwvly,baavlay
BwvMdu,bhaavandu
BwvMdw,bhaavandaa
BwvMin,bhaavanne
bwvn,baavan
Bwvn,bhaavan
BwvnI,bhaavnee
BwvnIAw,bhaavneeaa
Bwvnu,bhaavanu
Bwvnw,bhaavnaa
Bwvq,bhaavat
BwvqI,bhaavtee
Bwvqo,bhaavto
Bwvqu,bhaavatu
Bwvqw,bhaavtaa
bwvr,baavar
bwvrI,baavree
bwvro,baavro
bwvru,baavaru
bwvrw,baavraa
bwvry,baavray
BwvsI,bhaavsee
Bwvw,bhaavaa
BwVw,bhaarraa
BwvW,bhaavaan
bWvWig,baanvaange
Bwvwis,bhaavaase
BwvxI,bhaavnnee
Bwvxw,bhaavnnaa
BwvY,bhaavai
bwvY,baavai
bwvy,baavay
Bwvy,bhaavay
BwvYgo,bhaavaigo
bwx,baann
BwXau,bhaaYou
bwxI,baannee
BwxI,bhaannee
bwxIAw,baanneeaa
BwxIAw,bhaanneeaa
BwxIAY,bhaanneeai
bwxIey,baanneeay
bwxu,baannu
Bwxu,bhaannu
Bwxw,bhaannaa
bwxw,baannaa
BwxY,bhaannai
Bwxy,bhaannay
bwxY,baannai
bwxy,baannay
BX,bhaYa
BXau,bhaYou
bxeI,bannaee
Bxhu,bhannahu
bxI,bannee
BxI,bhannee
bxIAY,banneeai
BxIAY,bhanneeai
Bxiq,bhannate
bxiqAw,bannteaa
bXix,baYanne
bxju,bannaju
bxjy,bannjay
BXM,bhaYan
BxM,bhannan
BXMiq,bhaYante
BxMiq,bhannante
BXO,bhaYau
BXo,bhaYo
bxq,bannat
bxqI,banntee
bxqY,banntai
bxspiq,bannaspate
Bxu,bhannu
bxu,bannu
BXuo,bhaYuo
Bxw,bhannaa
BXw,bhaYaa
bxw,bannaa
bxweI,bannaaee
bxweIAnu,bannaaeeAnu
bxweIAw,bannaaeeaa
bxwey,bannaaay
bxwie,bannaae
bxwieAw,bannaaeaa
BXwn,bhaYaan
bxwvih,bannaavahe
bxwvixAw,bannaavnneaa
bxwvxI,bannaavnnee
bxwvY,bannaavai
bXx,baYann
bxY,bannai
bxy,bannay
BxY,bhannai
BY,bhai
bY,bai
by,bay
byAMiq,bayAnte
byAMq,bayAnt
byAMqu,bayAntu
byAMqw,bayAntaa
Byau,bhayou
bYAwlM,baiaalan
BYAwn,bhaiaan
byAYb,bayaib
byb,bayb
bybrjq,baybarjat
bybw,baybaa
bybwix,baybaanne
bybwk,baybaak
bybwx,baybaann
bybwxI,baybaannee
bybwxu,baybaannu
bybwxY,baybaannai
byceI,baychaee
bychu,baychahu
bycwieE,baychaaeo
bycwrw,baychaaraa
bycwry,baychaaray
bycY,baychai
Byd,bhayd
byd,bayd
bYd,baid
bydˆØI,baydeen
bYd´M,baidean
bydh,baydaha
bydhu,baydahu
byDI,baydhee
bydI,baydee
BydI,bhaydee
byDIAly,baydheeAlay
BydIAY,bhaydeeai
Bydih,bhaydahe
bydih,baydahe
bydin,baydane
bYdk,baidak
BydM,bhaydan
byDMc,baydhanch
bydn,baydan
bydnweI,baydnaaee
byDq,baydhat
bydu,baydu
Bydu,bhaydu
bYdu,baidu
bydw,baydaa
Bydw,bhaydaa
bydW,baydaan
bydwr,baydaar
byDy,baydhay
BydY,bhaydai
Bydy,bhayday
bydysvw,baydaysvaa
byeI,bayee
Byf,bhaydd
byFI,bayddhee
Byfw,bhayddaa
Byfwry,bhayddaaray
byFy,bayddhay
bygl,baygal
bygmpurw,baygampuraa
bygul,baygul
byguly,baygulay
bygwlI,baygaalee
bygwnw,baygaanaa
bygwrI,baygaaree
byhI,bayhee
bYhin@,baihane
byhwl,bayhaal
BYhwrIAw,bhaihaareeaa
bYhxw,baihnnaa
bYhxy,baihnnay
byic,bayche
byicAw,baycheaa
byicE,baycheo
Byid,bhayde
byiD,baydhe
byid,bayde
byiDAw,baydheaa
ByidAw,bhaydeaa
byiDE,baydheo
ByidE,bhaydeo
BYielw,bhaielaa
byiFE,bayddheo
byig,bayge
Byij,bhayje
ByijAw,bhayjeaa
ByiK,bhaykhe
byil,bayle
Byiq,bhayte
byir,bayre
bYis,baise
bYisE,baiseo
Byit,bhaytte
bYiT,baitthe
ByitAw,bhaytteaa
bYiTAw,baittheaa
ByitAY,bhaytteai
ByitE,bhaytteo
Byitly,bhayttelay
ByiV,bhayrre
byiV@E,bayrreo
byix,baynne
ByjI,bhayjee
Byjih,bhayjahe
BYjlu,bhaijalu
Byjy,bhayjay
ByjY,bhayjai
ByK,bhaykh
byKbr,baykhabar
ByKDwrI,bhaykhdhaaree
ByKI,bhaykhee
ByKM,bhaykhan
bYKrIdu,baikhareedu
ByKu,bhaykhu
bYkuMiT,baikuntthe
bYkuMT,baikuntth
bYkuMTh,baikuntthaha
bYkuMTih,baikuntthahe
bYkuMTu,baikuntthu
bYkuMTY,baikuntthai
ByKvwnI,bhaykhvaanee
ByKw,bhaykhaa
bykwm,baykaam
bykwr,baykaar
ByKwrI,bhaykhaaree
bykwru,baykaaru
bykwrw,baykaaraa
ByKY,bhaykhai
bYl,bail
byl,bayl
bylI,baylee
bylIAw,bayleeaa
bYlu,bailu
bylw,baylaa
BYlw,bhailaa
Bylw,bhaylaa
bymuhqwj,baymuhtaaj
bymuhqwju,baymuhtaaju
bymuhqwjy,baymuhtaajay
bymuK,baymukh
bymuKu,baymukhu
bymuKweI,baymukhaaee
bYn,bain
byn,bayn
Byn,bhayn
bYnhu,bainahu
bYnI,bainee
byniq,baynate
bynjr,baynajar
bynMqI,baynantee
bynMqIAw,baynanteeaa
bynqI,bayntee
bynu,baynu
BYnw,bhainaa
bYnw,bainaa
bynwDw,baynaadhaa
bypIir,baypeere
byprvwh,bayparvaah
byprvwhu,bayparvaahu
byprvwhw,bayparvaahaa
byprvwhy,bayparvaahay
Byq,bhayt
byqI,baytee
Byqu,bhaytu
byqw,baytaa
byqwilAw,baytaaleaa
byqwl,baytaal
byqwlw,baytaalaa
byqwly,baytaalay
byqy,baytay
byqY,baytai
bYr,bair
byr,bayr
byr@y,bayray
BYrau,bhairou
ByrI,bhayree
bYrI,bairee
byrI,bayree
ByrIAw,bhayreeaa
byrIAw,bayreeaa
bYrin,bairane
byrktI,bayrkattee
bYru,bairu
BYrv,bhairav
BYrvI,bhairvee
byrw,bayraa
bYrwDr,bairaadhar
bYrweI,bairaaee
bYrweIAw,bairaaeeaa
bYrweIAY,bairaaeeai
bYrwg,bairaag
bYrwgI,bairaagee
bYrwgIAVy,bairaageeArray
bYrwgIAw,bairaageeaa
bYrwgIAY,bairaageeai
bYrwgin,bairaagane
bYrwgix,bairaaganne
bYrwgnI,bairaagnee
bYrwgo,bairaago
bYrwgro,bairaagro
bYrwgru,bairaagaru
bYrwgu,bairaagu
bYrwgw,bairaagaa
bYrwgY,bairaagai
bYrwie,bairaae
bYrwig,bairaage
bYrwigAw,bairaageaa
bYrwnw,bairaanaa
bYrwrI,bairaaree
bYrwVI,bairaarree
byrwvY,bayraavai
bYry,bairay
byry,bayray
byrY,bayrai
BYs,bhais
bYs,bais
Bys,bhays
bYs˜vh,baisnavaha
bYsau,baisou
bYseI,baisaee
bYshu,baisahu
bYsIAY,baiseeai
bYsih,baisahe
bYsin,baisane
bysÍw,baysuaa
bYsÍWqrh,baisuaantaraha
bYsix,baisanne
bYsk,baisak
bYsMqir,baisantare
bYsMqr,baisantar
bYsMqrM,baisantaran
bYsMqro,baisantaro
bYsMqru,baisantaru
bYsnau,baisnou
bYsno,baisno
bYsnO,baisnau
bYsnu,baisanu
bYsq,baisat
bYsqy,baistay
BYsr,bhaisar
bystM,baysttan
Bysu,bhaysu
bYsu,baisu
bysuAw,baysuaa
bysumwr,baysumaar
bysumwru,baysumaaru
bysurq,baysurt
bysvw,baysvaa
Bysvw,bhaysvaa
BYsw,bhaisaa
bYsw,baisaa
bYswie,baisaae
bYswlih,baisaalahe
byswrIAY,baysaareeai
bYswvih,baisaavahe
bYsx,baisann
bYsxhwru,baisannhaaru
bYsxu,baisannu
bYsxw,baisnnaa
bYsY,baisai
bYsy,baisay
bYT,baitth
Byt,bhaytt
bYTI,baitthee
BytIAly,bhaytteeAlay
bYTIAw,baittheeaa
BytIAY,bhaytteeai
Bytih,bhayttahe
bYTIly,baittheelay
bYTkw,baitthkaa
Bytl,bhayttal
BytM,bhayttan
BytMiq,bhayttante
Bytn,bhayttan
bYTno,baitthno
bYTnu,baitthanu
Bytnw,bhayttnaa
bYTo,baittho
Bytq,bhayttat
bYTq,baitthat
Bytqy,bhayttatay
BytsI,bhayttsee
bYTu,baitthu
Bytulw,bhayttulaa
Bytuly,bhayttulay
bytVI,bayttrree
bYTVIAwh,baitthrreeaah
bYTw,baitthaa
bytw,bayttaa
Bytwie,bhayttaae
bYTwlI,baitthaalee
bYTwvhu,baitthaavahu
bYTwXau,baitthaaYou
Bytx,bhayttann
bYTxu,baitthannu
BytY,bhayttai
Byty,bhayttay
bYTy,baitthay
byty,bayttay
Byv,bhayv
byVI,bayrree
ByVI,bhayrree
byvjIr,bayvajeer
byVu,bayrru
byVulw,bayrrulaa
byVw,bayrraa
Byvw,bhayvaa
byVy,bayrray
byVY,bayrrai
BYx,bhainn
bYx,bainn
byxI,baynnee
bYxI,bainnee
BYxo,bhainno
BYxu,bhainnu
byxu,baynnu
bYxw,bainnaa
BYxw,bhainnaa
BYXwn,bhaiYaan
BYxy,bhainnay
c,cha
cau,chou
caubIsw,choubeesaa
cauboly,choubolay
caubwrw,choubaaraa
caubwry,choubaaray
caucikAw,chouchakeaa
caudh,choudaha
caudih,choudahe
caudis,choudase
caudo,choudo
cauDrI,choudhree
cauds,choudas
caudw,choudaa
caugun,chougun
cauhUM,chouhoon
cauhw,chouhaa
cauidAw,choudeaa
cauigrd,chougerd
cauiQ,choutthe
cauiV,chourre
caukI,choukee
caukiV,choukarre
caukVI,choukrree
caukw,choukaa
cauky,choukay
caukY,choukai
caumuK,choumukh
caupdw,choupdaa
caupdy,choupday
caupiV,chouparre
caupweI,choupaaee
cauQI,chouthee
cauQih,chouthahe
cauqIs,choutees
cauqukI,choutukee
cauquky,choutukay
cauQVI,chouthrree
cauQw,chouthaa
cauQY,chouthai
cauQy,chouthay
caur,chour
cauru,chouru
caurwsI,chouraasee
caurwsIh,chouraaseeh
causiT,chousatthe
CauV,chhourr
cauvwieAw,chouvaaeaa
caUxI,chaoonnee
cauxI,chounnee
cauxy,chounnay
CbIlI,chhabeelee
CbIlw,chhabeelaa
cbx,chabann
cby,chabay
CCw,chhachhaa
ccw,chachaa
ccY,chachai
CCY,chhachhai
Cdm,chhadam
ceIAw,chaeeaa
CfeIAY,chhaddaeeai
CfhY,chhaddahai
CfIAw,chhaddeeaa
CfIAY,chhaddeeai
Cfih,chhaddahe
cFih,chaddhahe
Cfnw,chhaddnaa
cFq,chaddhat
cfw,chaddaa
Cfw,chhaddaa
cFw,chaddhaa
CfwaU,chhaddaaoo
CfweI,chhaddaaee
cFweI,chaddhaaee
cFweIAY,chaddhaaeeai
Cfwey,chhaddaaay
CfwhI,chhaddaahee
Cfwie,chhaddaae
cFwie,chaddhaae
CfwieAw,chhaddaaeaa
Cfwiedw,chhaddaaedaa
Cfwih,chhaddaahe
Cfwnw,chhaddaanaa
Cfwqw,chhaddaataa
cFwvau,chaddhaavou
Cfwvhu,chhaddaavahu
CfwvIAY,chhaddaaveeai
Cfwvn,chhaddaavan
Cfwvxhwro,chhaddaavannhaaro
Cfwvxhwrw,chhaddaavannhaaraa
CfwvxI,chhaddaavnnee
CfwvY,chhaddaavai
cFwvY,chaddhaavai
Cfxy,chhaddnnay
CfY,chhaddai
Cfy,chhadday
cFy,chaddhay
cFY,chaddhai
Ch,chhaha
Chbr,chhahabar
ChIAw,chhaheeaa
chIAY,chaheeai
chu,chahu
chU,chahoo
ChUM,chhahoon
cI,chee
cib,chabe
CIbw,chheebaa
Cif,chhadde
CifAnu,chhaddeAnu
CifAw,chhaddeaa
ciFbo,chaddhebo
CifE,chhaddeo
CIij,chheeje
CIik,chheeke
cIin,cheene
CIin,chheene
cIin@,cheene
cIin@Aw,cheeneaa
cIinAw,cheeneaa
cIinE,cheeneo
cIiq,cheete
cIirAw,cheereaa
cIj,cheej
cij,chaje
Cij,chhaje
cIjI,cheejee
CIjih,chheejahe
CIjq,chheejat
cIju,cheeju
CIjY,chheejai
ciK,chakhe
Cik,chhake
ciKAw,chakheaa
ciKE,chakheo
cIkiV,cheekarre
cIkVu,cheekarru
CIky,chheekay
cil,chale
cilAau,chaleAou
cilAw,chaleaa
cilE,chaleo
CilE,chhaleo
cilq,chalet
cilqu,chaletu
cimAwru,chameaaru
CimCrI,chhamechharee
cIn,cheen
cIn@,cheen
cIn@hI,cheenhee
cIn@I,cheenee
cIn@sI,cheensee
cIn@w,cheenaa
cIn@W,cheenaan
cIn@Y,cheenai
cIn@y,cheenay
CinCrvwir,chhanechharvaare
cIneI,cheenaee
cInhu,cheenahu
cInI,cheenee
cInIAY,cheeneeai
cInih,cheenahe
cInis,cheenase
cIno,cheeno
cInq,cheenat
CInq,chheenat
cInw,cheenaa
CInw,chheenaa
CInW,chheenaan
cInY,cheenai
cIny,cheenay
cInY@,cheenai
Cip,chhape
CipAw,chhapeaa
CIphu,chheepahu
CIpro,chheepro
CIpw,chheepaa
CIpy,chheepay
CIpY,chheepai
cIq,cheet
Ciq,chhate
cIqnhwry,cheetanhaaray
cIQrw,cheethraa
cIqu,cheetu
cIqw,cheetaa
cIqy,cheetay
cir,chare
cIr,cheer
CirAw,chhareaa
cirE,chareo
cIrI,cheeree
cIrIAY,cheereeai
cIrih,cheerahe
cirq,charet
cirqR,charetra
cIru,cheeru
cIrw,cheeraa
cIrY,cheerai
cIry,cheeray
cisAhu,chaseAhu
cisAw,chaseaa
cIsw,cheesaa
cit,chatte
CiT,chhatthe
cItI,cheettee
ciV,charre
ciV@E,charreo
ciVAau,charreAou
ciVAw,charreaa
civAw,chaveaa
ciVAY,charreai
ciVE,charreo
cj,chaj
Cj,chhaj
cju,chaju
Cjy,chhajay
cKau,chakhou
ckeI,chakaee
ckhu,chakahu
ckI,chakee
cKIAY,chakheeai
cKih,chakhahe
ckor,chakor
ckorI,chakoree
ckorw,chakoraa
ckR,chakra
ckRDr,chakradhar
ckRM,chakran
ckRpwix,chakrapaanne
ckRü,chakru
ckRvY,chakravai
cktI,chakttee
cku,chaku
ckvI,chakvee
Ckw,chhakaa
cKw,chakhaa
cKwieEnu,chakhaaeonu
cKwsI,chakhaasee
cKY,chakhai
cKy,chakhay
Cky,chhakay
Cl,chhal
cl,chal
clau,chalou
cldI,chaldee
cldIAw,chaldeeaa
cldw,chaldaa
cldy,chalday
cleI,chalaee
cleIAw,chalaeeaa
clh,chalaha
clhu,chalahu
clI,chalee
ClI,chhalee
clIAih,chaleeAhe
ClIAw,chhaleeaa
clIAw,chaleeaa
clIAY,chaleeai
ClIAY,chhaleeai
clidAw,chaldeaa
clih,chalahe
clin,chalane
clix,chalanne
ClM,chhalan
clMdI,chalandee
clMin,chalanne
clMin@,chalanne
clMQo,chalantho
clMqy,chalantay
cln,chalan
Cln,chhalan
clnI,chalnee
clno,chalno
clnw,chalnaa
Clnw,chhalnaa
clnY,chalnai
clo,chalo
clq,chalat
clqau,chaltou
clqI,chaltee
clqO,chaltau
clqu,chalatu
clqw,chaltaa
clqY,chaltai
clqy,chaltay
clsI,chalsee
clsih,chalsahe
clu,chalu
Clu,chhalu
clUil,chaloole
clUilAw,chalooleaa
clUl,chalool
clUlI,chaloolee
clUlu,chaloolu
clUlw,chaloolaa
clUlY,chaloolai
clUly,chaloolay
clw,chalaa
clW,chalaan
Clw,chhalaa
clwau,chalaaou
clwaU,chalaaoo
clweI,chalaaee
ClweI,chhalaaee
clweIAih,chalaaeeAhe
clweIAw,chalaaeeaa
clweIAY,chalaaeeai
clwey,chalaaay
clwhI,chalaahee
clwhu,chalaahu
clwhw,chalaahaa
clwie,chalaae
clwieAw,chalaaeaa
clwiedw,chalaaedaa
clwiedy,chalaaeday
clwieE,chalaaeo
clwieEnu,chalaaeonu
clwieih,chalaaehe
clwiein,chalaaene
clwvau,chalaavou
clwvhu,chalaavahu
clwvhy,chalaavhay
clwvih,chalaavahe
clwvxhwrw,chalaavannhaaraa
clwvY,chalaavai
clwvYgo,chalaavaigo
clx,chalann
clxhwr,chalannhaar
clxhwru,chalannhaaru
clxhwrw,chalannhaaraa
clxu,chalannu
clxvwrw,chalannvaaraa
clxw,chalnnaa
clxY,chalnnai
clY,chalai
cly,chalay
ClY,chhalai
Cly,chhalay
clYgo,chalaigo
clysih,chalaysahe
cMauru,chanouru
cMcil,chanchale
cMcl,chanchal
cMclh,chanchalaha
cMclu,chanchalu
cMclw,chanchalaa
CMCwrw,chhanchhaaraa
cMd,chand
CMd,chhand
cMdˆØI,chandeen
cMdin,chandane
cMdn,chandan
cMdnh,chandanaha
cMdno,chandno
cMdnu,chandanu
cMdnw,chandnaa
cMdnY,chandnai
cMdo,chando
cMdoAw,chandoaa
cMdR,chandra
cMdRhVw,chandrahrraa
cMdRhWsu,chandrahaansu
cMdRibMb,chandrabenb
cMdRmw,chandramaa
cMdRmy,chandramay
cMdRwiexu,chandraaennu
cMdRwiexw,chandraaennaa
cMdRwvil,chandraavale
cMdu,chandu
cMdw,chandaa
CMdw,chhandaa
cMdwiexu,chandaaennu
cMdwkI,chandaakee
CMdy,chhanday
cmeIAw,chamaeeaa
cMfeIAw,chanddaeeaa
cMfUru,chanddooru
cMfwil,chanddaale
cMfwl,chanddaal
cMfwlI,chanddaalee
cMfwlu,chanddaalu
cMfwlw,chanddaalaa
cMfwr,chanddaar
cMfwrw,chanddaaraa
cMg,chang
cMgI,changee
cMgIAw,changeeaa
cMgnw,changnaa
cMgVIAw,changrreeaa
cMgw,changaa
cMgY,changai
cMgy,changay
cMgyirAw,changayreaa
cMgyrI,changayree
cMgyrw,changayraa
cMigAweˆØI,changeaaeen
cMigAweI,changeaaee
cMigAweIAw,changeaaeeaa
cmik,chamake
cmikAw,chamkeaa
cMim,chanme
cMimAwro,chanmeaaro
cmkey,chamkay
cmkMin,chamkanne
cmkwir,chamkaare
cmkwr,chamkaar
cmkY,chamkai
cMmu,chanmu
cMmwrM,chanmaaran
CMnI,chhannee
cMnxu,channannu
cmoVIAY,chamorreeai
cMpk,chanpak
cMpY,chanpai
CMq,chhant
cmqkwr,chamatkaar
CMqu,chhantu
CMqw,chhantaa
cmr,chamar
cmrtw,chamrattaa
cmry,chamray
cmu,chamu
cmV,chamarr
cmVI,chamrree
cmwr,chamaar
cmwru,chamaaru
cmwrw,chamaaraa
Cn,chhan
Cnk,chhanak
cnn,chanan
cnxwTIAw,chanannaattheeaa
cny,chanay
co,cho
coAw,choaa
coB,chobh
CoCI,chhochhee
CoCw,chhochhaa
Cofau,chhoddou
